Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
CHEESE,GOAT,SEMISOFT TYPE;CHEESE,GOAT,SEMISOFT TYPE 1 oz;254;79;364;2158;1 oz
CHEESE,GOAT,SOFT TYPE;CHEESE,GOAT,SOFT TYPE 1 oz;89;46;268;1852;1 oz
EGG,YOLK,RAW,FRZ,SALTED;EGG,YOLK,RAW,FRZ,SALTED .5 lb;16;955;274;140;.5 lb
CHEESE SUB,MOZZARELLA;CHEESE SUB,MOZZARELLA 1 cup, shredded;2367;0;248;1147;1 cup, shredded
CHEESE FONDUE;CHEESE FONDUE 1 cup;377;45;229;1423;1 cup
CHEESE SAU,PREP FROM RECIPE;CHEESE SAU,PREP FROM RECIPE 1 cup;548;38;197;1033;1 cup
CHEESE,MEXICAN,QUESO ANEJO;CHEESE,MEXICAN,QUESO ANEJO 1 cup, crumbled;463;105;373;2144;1 cup, crumbled
CHEESE,MEXICAN,QUESO ASADERO;CHEESE,MEXICAN,QUESO ASADERO 1 cup, diced;287;105;356;226;1 cup, diced
CHEESE,MEXICAN,QUESO CHIHUAHUA;CHEESE,MEXICAN,QUESO CHIHUAHUA 1 cup, diced;556;105;374;2156;1 cup, diced
CHEESE,LOFAT,CHEDDAR OR COLBY;CHEESE,LOFAT,CHEDDAR OR COLBY 1 cup, diced;191;21;173;2435;1 cup, diced
CHEESE,LOW-SODIUM,CHEDDAR OR COLBY;CHEESE,LOW-SODIUM,CHEDDAR OR COLBY 1 cup, diced;191;100;398;2435;1 cup, diced
EGG,WHOLE,RAW,FROZEN;EGG,WHOLE,RAW,FROZEN ;105;432;148;1195;
EGG,WHITE,RAW,FROZEN;EGG,WHITE,RAW,FROZEN ;105;0;47;98;
EGG,WHITE,DRIED;EGG,WHITE,DRIED ;78;0;382;811;
SOUR CREAM,REDUCED FAT;SOUR CREAM,REDUCED FAT ;70;35;181;70;
SOUR CREAM,LIGHT;SOUR CREAM,LIGHT ;71;35;136;35;
SOUR CREAM,FAT FREE;SOUR CREAM,FAT FREE ;156;9;74;31;
USDA COMMODITY,CHS,CHEDDAR,RED FAT;USDA COMMODITY,CHS,CHEDDAR,RED FAT ;20;56;282;272;
YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR;YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR ;75;2;47;386;
PARMESAN CHS TOPPING,FAT FREE;PARMESAN CHS TOPPING,FAT FREE ;400;20;370;400;
CHEESE,CREAM,FAT FREE;CHEESE,CREAM,FAT FREE ;766;12;105;1569;
YOGURT,CHOC,NONFAT MILK;YOGURT,CHOC,NONFAT MILK ;2353;1;108;353;
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU;KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU 2 tbsp;92;75;276;120;2 tbsp
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT;KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT 2 tbsp;162;35;215;163;2 tbsp
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT;KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT 1 slice;117;16;148;227;1 slice
KRAFT VELVEETA PAST PROCESS CHS SPRD;KRAFT VELVEETA PAST PROCESS CHS SPRD 1 oz;98;80;303;163;1 oz
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT;KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT 1 oz;118;42;222;196;1 oz
KRAFT BREAKSTONE'S RED FAT SOUR CRM;KRAFT BREAKSTONE'S RED FAT SOUR CRM 2 tbsp;65;50;152;45;2 tbsp
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM;KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM 2 tbsp;151;9;91;47;2 tbsp
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT);KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT) 1 container,  (8 oz);182;9;96;38;1 container,  (8 oz)
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT);KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT) 1 container,  (4.4 oz);219;9;108;32;1 container,  (4.4 oz)
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT);KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT) 1 container,  (8 oz);199;9;102;38;1 container,  (8 oz)
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T);KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T) 1 container,  (8 oz);99;5;55;34;1 container,  (8 oz)
CREAM,HALF & HALF,FAT FREE;CREAM,HALF & HALF,FAT FREE ;90;5;59;26;
REDDI WIP FAT FREE WHIPPED TOPPING;REDDI WIP FAT FREE WHIPPED TOPPING ;250;16;149;30;
MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA;MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA 1 cup;1213;8;78;299;1 cup
YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER;YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER 1 8 oz container,  (8 oz);186;6;105;486;1 8 oz container,  (8 oz)
CHEESE,PARMESAN,DRY GRATED,RED FAT;CHEESE,PARMESAN,DRY GRATED,RED FAT 1 cup;137;88;265;200;1 cup
CREAM SUB,FLAV,LIQ;CREAM SUB,FLAV,LIQ ;3507;0;251;69;
CREAM SUB,FLAV,POWDERED;CREAM SUB,FLAV,POWDERED ;7542;0;495;0;
CHEESE,PROVOLONE,RED FAT;CHEESE,PROVOLONE,RED FAT 1 cup, diced;35;55;274;247;1 cup, diced
CHEESE,MEXICAN,BLEND,RED FAT;CHEESE,MEXICAN,BLEND,RED FAT ;341;62;282;2469;
EGG MIX,USDA CMDTY;EGG MIX,USDA CMDTY ;2397;1110;549;356;
ALLSPICE,GROUND;ALLSPICE,GROUND 1 tbsp;7212;0;263;609;1 tbsp
ANISE SEED;ANISE SEED 1 tbsp, whole;5002;0;337;176;1 tbsp, whole
SPICES,BASIL,DRIED;SPICES,BASIL,DRIED 1 tsp, leaves;6096;0;251;1437;1 tsp, leaves
SPICES,BAY LEAF;SPICES,BAY LEAF 1 tbsp, crumbled;7497;0;313;761;1 tbsp, crumbled
CARAWAY SEED;CARAWAY SEED 1 tbsp;499;0;333;1977;1 tbsp
SPICES,CARDAMOM;SPICES,CARDAMOM 1 tbsp, ground;6847;0;311;1076;1 tbsp, ground
CELERY SEED;CELERY SEED 1 tbsp;4135;0;392;1807;1 tbsp
CHERVIL,DRIED;CHERVIL,DRIED 1 tbsp;491;0;237;232;1 tbsp
CHILI POWDER;CHILI POWDER 1 tbsp;5466;0;314;1226;1 tbsp
CINNAMON,GROUND;CINNAMON,GROUND 1 tbsp;8059;0;247;399;1 tbsp
CLOVES,GROUND;CLOVES,GROUND 1 tbsp;6121;0;323;598;1 tbsp
CORIANDER LEAF,DRIED;CORIANDER LEAF,DRIED 1 tbsp;521;0;279;2193;1 tbsp
CORIANDER SEED;CORIANDER SEED 1 tbsp;5499;0;298;1237;1 tbsp
CUMIN SEED;CUMIN SEED 1 tbsp, whole;4424;0;375;1781;1 tbsp, whole
CURRY POWDER;CURRY POWDER 1 tbsp;5815;0;325;1266;1 tbsp
