Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
BABYFOOD.DINNER.BF LASAGNA.TODD,77,10,4.2,2.1,28.35
BABYFOOD.DINNER.BF NOODLE.JR,57,7.4,2.5,1.9,16
BABYFOOD.DINNER.BF NOODLE.STR,63,8.18,2.44,2.26,16
BABYFOOD.DINNER.BF STEW.TODD,51,5.5,5.1,1.2,28.35
BABYFOOD.DINNER.BF W/VEG,96,6.36,02.03,6.93,113
BABYFOOD.DINNER.BF&RICE.TODD,82,8.8,5,2.9,28.35
BABYFOOD.DINNER.BROCCOLI & CHICK.JR,62,6.34,3.59,2.48,28.88
BABYFOOD.DINNER.CHICK NOODLE.JR,55,8.79,2.37,1.18,16
BABYFOOD.DINNER.CHICK NOODLE.STR,66,09.08,2.69,02.06,16
BABYFOOD.DINNER.CHICK STEW.TODD,78,6.4,5.2,3.7,16
BABYFOOD.DINNER.CHICK&NOODLE W/VEG.TODD,66,8.89,3.8,1.7,16
BABYFOOD.DINNER.CHICK&RICE,51,9.2,1.6,0.9,16
BABYFOOD.DINNER.MACARONI&CHS.JR,61,8.2,2.6,2,28.35
BABYFOOD.DINNER.MACARONI&CHS.STR,67,8.95,3.14,2.11,28.35
BABYFOOD.DINNER.MACARONI&TOMATO&BF.JR,59,9.4,2.5,1.1,16
BABYFOOD.DINNER.MACARONI&TOMATO&BF.STR,61,9.45,2.36,1.47,16
BABYFOOD.DINNER.MACARONI.BF&TOMATO SAU.TODD,81,11.53,4.34,1.9,16
BABYFOOD.DINNER.MXD VEG.JR,33,7.9,1,0,28.35
BABYFOOD.DINNER.MXD VEG.STR,41,9.5,1.2,0.1,28.35
BABYFOOD.DINNER.PASTA W/VEG,60,8.4,1.7,2.1,113
BABYFOOD.DINNER.POTATOES W/CHS&HAM.TODD,78,11.5,3.5,2,28.35
BABYFOOD.DINNER.SPAGHETTI&TOMATO&MEAT.JR,68,11.42,2.57,1.37,16
BABYFOOD.DINNER.SPAGHETTI&TOMATO&MEAT.TODD,75,10.8,5.3,1,28.35
BABYFOOD.DINNER.SWT POTATOES&CHICK.STR,74,11.04,2.51,2.17,16
BABYFOOD.DINNER.TURKEY&RICE.JR,56,9.57,2.37,0.92,16
BABYFOOD.DINNER.TURKEY&RICE.STR,52,7.94,2.27,1.24,16
BABYFOOD.DINNER.TURKEY.RICE.AND VEG.TODD,59,7.5,3.8,1.6,28.35
BABYFOOD.DINNER.VEG CHICK.STR,59,8.42,2.47,1.73,256
BABYFOOD.DINNER.VEG&BACON.STR,69,8.81,1.92,2.95,256
BABYFOOD.DINNER.VEG&BF.JR,77,8.84,2.21,3.6,256
BABYFOOD.DINNER.VEG&BF.STR,77,8.84,2.21,3.6,256
BABYFOOD.DINNER.VEG&CHICK.JR,53,8.66,02.04,1.12,256
BABYFOOD.DINNER.VEG&DUMPLINGS&BF.JR,48,8,2.1,0.8,28.35
BABYFOOD.DINNER.VEG&DUMPLINGS&BF.STR,48,7.7,2,0.9,28.35
BABYFOOD.DINNER.VEG&HAM.JR,60,8.65,02.02,1.89,256
BABYFOOD.DINNER.VEG&HAM.STR,59,7.8,2.19,2.14,256
BABYFOOD.DINNER.VEG&LAMB.JR,51,7.1,2.1,1.7,28.35
BABYFOOD.DINNER.VEG&LAMB.STR,52,6.9,2,2,256
BABYFOOD.DINNER.VEG&NOODLES&TURKEY.JR,52,7.6,1.8,1.5,28.35
BABYFOOD.DINNER.VEG&NOODLES&TURKEY.STR,44,6.8,1.2,1.2,28.35
BABYFOOD.DINNER.VEG&TURKEY.JR,53,7.55,1.72,1.74,256
BABYFOOD.DINNER.VEG&TURKEY.STR,48,7.62,2.32,0.9,256
BABYFOOD.DINNER.VEG&TURKEY.TODD,80,8,4.8,3.4,28.35
BABYFOOD.DINNER.VEG.NOODLES&CHICK.JR,64,9.1,1.7,2.2,28.35
BABYFOOD.DINNER.VEG.NOODLES&CHICK.STR,63,7.9,2,2.5,28.35
BABYFOOD.DSSRT.BANANA PUDD.STR,68,14.14,1,0.8,15
BABYFOOD.DSSRT.BANANA YOGURT.STR,79,17.4,1.1,0.52,15
BABYFOOD.DSSRT.BLUEBERRY YOGURT.STR,77,17.05,0.5,0.7,15
BABYFOOD.DSSRT.CHERRY VANILLA PUDD.JR,69,18.4,0.2,0.2,28.35
BABYFOOD.DSSRT.CHERRY VANILLA PUDD.STR,68,17.8,0.2,0.3,28.35
BABYFOOD.DSSRT.CUSTARD PUDD.VANILLA.JR,86,17.58,1.76,0.98,229
BABYFOOD.DSSRT.CUSTARD PUDD.VANILLA.STR,85,16,1.6,2,229
BABYFOOD.DSSRT.DUTCH APPL.JR,79,19.29,0.2,0.16,28.35
BABYFOOD.DSSRT.DUTCH APPL.STR,75,19.74,0.2,0.4,28.35
BABYFOOD.DSSRT.FRUIT DSSRT.WO/VIT C.JR,63,17.2,0.3,0,15
BABYFOOD.DSSRT.FRUIT DSSRT.WO/VIT C.STR,59,16,0.3,0,15
BABYFOOD.DSSRT.FRUIT PUDD.ORANGE.STR,80,17.7,1.1,0.9,28.35
BABYFOOD.DSSRT.FRUIT PUDD.PNAPPL.STR,81,20.3,1.3,0.3,15
BABYFOOD.DSSRT.PEACH COBBLER.JR,67,18.3,0.3,0,15
BABYFOOD.DSSRT.PEACH COBBLER.STR,65,17.8,0.3,0,15
BABYFOOD.DSSRT.PEACH YOGURT,76,17.6,0.9,0.18,15
